age_group,education,gender,nationality,electoral_district,unit,EKRE,Eesti 200,Hard to say,Isamaa,Keskerakond,Mitte ükski erakond,Other,Parempoolsed,Reformierakond,Rohelised,SDE
16-24,Basic education,Female,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,1,0,0,0,0,0,0,0,0,0
16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,1,0,0,0,0,0,0,0
16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,0,0,0,0,0,0,0
16-24,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,0,0,0,0,1,0,0,0,0,0,0
16-24,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,0,0,0,0,1,0,0,0,0,0,0
16-24,Basic education,Female,Other,Pärnumaa,Pärnumaa,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,0,0,0,0,1,0,0,0,0
16-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,0,0,1,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,0,0,0,0,1,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,0,1,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,0,1,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,1,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,0,0,1
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,0,0,1,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,0,0,0,0,0,1,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,1,0,0,0,0,0,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,0,0,0,0,0,1,0,0
16-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1,0,0,0,0,0,0,0,0,0,0
16-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,0,0,0,0,0,0,0,0,1
